,season,completions,attempts,passing_yards,passing_tds,passing_air_yards,passing_yards_after_catch,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,predicted_points
226,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,104,916.0,5,1.0,1.0,1476.0,208.0,43.0,28.621990696259093,1,0.0,10.934628608910964,3.8643300658230944,6.458821643892697,10.317670249459528,17,0.2105263157894736,0.3489361702127659,0.1203007518796992,0.5949384098544233,0.2555090655509066,0.25,0.2574850299401197,0.2566844919786096,0.2527545327754533,0.2544072524407252,1.854251012145749,0.1312217194570135,23,128.81036
204,2021,0,0,0.0,0,0.0,0.0,0,2,20.0,0,0.0,0.0,1.0,1.3550202797632664,0,50,89,802.0,6,0.0,0.0,1195.0,220.0,32.0,33.40699237702511,0,0.0,13.154976523365026,2.4482135408004027,3.942254533881609,6.43189848491773,17,0.1466227347611202,0.2327619789637709,0.102948058025269,0.4061436853126972,0.1639076231350909,0.1463414634146341,0.1373390557939914,0.1386861313868613,0.1551245432748625,0.1603943911909995,1.3212520593080723,0.0988644111630969,25,124.64723
64,2021,1,1,46.0,0,-4.0,50.0,0,2,22.0,0,0.0,0.0,1.0,1.3555669034831226,0,67,94,828.0,5,1.0,0.0,728.0,389.0,37.0,20.24410014353026,0,0.0,17.961749666297273,3.110998419282404,3.0812528751852053,6.823374641553249,16,0.1787072243346007,0.1720633419995273,0.1686172518422193,0.405711510101523,0.1773019271948608,0.1428571428571428,0.1813725490196078,0.1757322175732217,0.1600795350260018,0.1704129703273172,1.5741444866920151,0.1148210605208919,27,122.593704
164,2021,0,2,0.0,0,42.0,0.0,0,2,10.0,0,0.0,0.0,1.0,0.552041839924641,0,63,105,869.0,5,0.0,0.0,1218.0,235.0,45.0,33.82721048599469,0,0.0,8.96489038855293,3.5990189195336253,5.798858561488621,9.457729372342472,13,0.2611940298507462,0.3910112359550561,0.1743323442136498,0.7046000335401643,0.2887043189368771,0.238095238095238,0.2941176470588235,0.2873563218390804,0.2633997785160575,0.2785825027685493,2.1616915422885574,0.158157020458122,24,122.261795
186,2021,0,0,0.0,0,0.0,0.0,0,5,17.0,0,0.0,0.0,0.0,-1.2647379657719284,0,56,84,826.0,5,1.0,1.0,813.0,349.0,37.0,40.65078996943231,1,0.0,18.49874323896817,2.9131419829503358,3.436512842757984,6.775271964356091,16,0.1721311475409836,0.2118290776446065,0.1690891472868217,0.4276599834271607,0.2005828071879553,0.2083333333333333,0.1978609625668449,0.1990521327014218,0.2044580702606443,0.2021329124170309,1.6926229508196722,0.1188399324503496,23,122.01041
195,2021,0,0,0.0,0,0.0,0.0,0,1,10.0,0,0.0,0.0,1.0,0.5470396659802645,0,50,82,655.0,7,0.0,0.0,855.0,179.0,26.0,14.589009455609798,0,0.0,15.74424298730745,2.4047385983838288,2.9992284238217164,5.706567794250945,17,0.1357615894039735,0.1765070189925681,0.0924586776859504,0.3448479993000147,0.147191011235955,0.2058823529411764,0.1287128712871287,0.1398305084745762,0.1765366820885657,0.1589292795769993,1.0844370860927153,0.0989388264669163,24,115.54936
11,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,73,120,832.0,4,0.0,0.0,1422.0,132.0,42.0,25.553950244378097,0,0.0,10.879411410703662,3.5223477289330947,5.218533041763272,8.936494722633933,17,0.1986754966887417,0.2988022693843244,0.0805369127516778,0.5370550605405721,0.2264561785519869,0.3333333333333333,0.2359550561797752,0.2421052631578947,0.2798947559426601,0.2478316095082562,1.3774834437086092,0.1485744438764572,31,114.25838
178,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,84,698.0,6,0.0,0.0,1060.0,144.0,32.0,27.968855190039477,0,0.0,10.700486203316842,3.1799076205107486,5.166423948698589,8.386358194855134,17,0.1666666666666666,0.2833466987436514,0.0856123662306777,0.4766773589949211,0.203084084957812,0.2068965517241379,0.1939393939393939,0.1958762886597938,0.2049903183409749,0.2038465783110772,1.3849206349206349,0.116654371080782,23,113.636215
193,2021,0,0,0.0,0,0.0,0.0,0,14,96.0,0,0.0,0.0,7.0,3.820542685338296,0,59,105,860.0,2,0.0,0.0,1202.0,295.0,36.0,9.79091478392468,0,0.0,11.588407697825629,2.705443313488666,4.51066983833907,7.2156338570703475,15,0.1829268292682926,0.3162325703762167,0.1603260869565217,0.5273763002034124,0.2427321478972622,0.0952380952380952,0.2,0.1890547263681592,0.1689851215676787,0.2132333373654288,1.4982578397212545,0.1330012294231291,23,111.89311
113,2021,0,0,0.0,0,0.0,0.0,0,3,32.0,0,0.0,0.0,2.0,2.7569728402304463,0,40,60,513.0,8,0.0,0.0,653.0,168.0,28.0,36.58736934207987,0,0.0,13.579709671003023,1.783169301444918,2.680258393041543,4.550934827296457,14,0.1209677419354838,0.1679526748971193,0.0866873065015479,0.3158137528209213,0.1385737439222042,0.2758620689655172,0.1450777202072538,0.1621621621621621,0.2072179064438607,0.1660314089308668,1.034274193548387,0.1059416540280132,26,111.31087
76,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,53,85,734.0,5,0.0,0.0,995.0,202.0,39.0,37.65879882428589,0,0.0,12.18323914293202,2.8696835672986567,4.098323908327614,7.173352086777315,16,0.1656920077972709,0.2291043057794151,0.1248454882571075,0.4318214563194386,0.2033240997229917,0.2631578947368421,0.2321428571428571,0.2352941176470588,0.2332409972299169,0.2152908587257617,1.4307992202729043,0.1209964412811387,28,110.76995
21,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,42,64,572.0,8,0.0,0.0,788.0,140.0,32.0,42.37796969614686,0,0.0,8.925950410138704,2.034366827932508,3.322744596837171,5.377471459684781,10,0.2,0.2971342383107089,0.1104100946372239,0.5377073906485672,0.205607476635514,0.4210526315789473,0.2539682539682539,0.2758620689655172,0.3133300541072307,0.2486965076242007,1.7875,0.1455293233677383,29,110.29953
5,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,54,92,848.0,3,0.0,0.0,1109.0,181.0,37.0,29.420385656513343,0,0.0,12.32139607765746,2.637033525216123,4.302691044699089,6.967434019113547,16,0.1631205673758865,0.2583275098998369,0.0867689357622243,0.4513428589836993,0.1955268618860964,0.1153846153846153,0.1822660098522167,0.1746724890829694,0.1554557386353559,0.1794984125858002,1.50354609929078,0.1017006317373425,33,108.94949
110,2021,3,3,88.0,0,67.0,21.0,0,2,11.0,0,0.0,0.0,1.0,1.9798408342758196,0,45,61,602.0,6,1.0,0.0,581.0,260.0,27.0,34.777382763575545,1,4.260416666666667,16.46539515965252,1.6291636049307845,1.905575515664411,3.777648268361264,14,0.114018691588785,0.133716915995397,0.1371308016877637,0.2780015701794951,0.14364113576712,0.1666666666666666,0.1285714285714285,0.1341463414634146,0.1551539012168933,0.1482462419470293,1.125233644859813,0.0962282083664249,26,105.692795
